Name;Country;Industry;Year of foundation;Year;Revenue;Net Income;Privacy;Size;CEO Name;Headquarters
Company_00014;Japan;Healthcare;2000;2022;47502549.72;10882143.82;Public;50-200 employees;Raj Brown;Berlin, Japan
Company_00015;UK;Healthcare;2000;2021;67836314.0;9098298.93;Public;1000-5000 employees;Robert Chen;São Paulo, UK
Company_00016;Brazil;Retail;2007;2021;51470929.53;2952376.41;Public;500-1000 employees;Robert Chen;Sydney, Brazil
Company_00017;Germany;Logistics;1968;2021;14382008.52;1535957.03;Public;5000-10000 employees;Liu Johnson;Paris, Germany
Company_00018;Canada;Retail;2020;2022;31361766.19;3720458.26;Private;50-200 employees;Anna Wang;Berlin, Canada
Company_00019;Australia;Finance;2010;2024;17327038.47;3065198.97;Private;200-500 employees;Robert Kumar;Toronto, Australia
Company_00020;China;Education;1982;2023;38456198.88;6289328.57;Public;5000-10000 employees;Jane Chen;Paris, China
Company_00021;China;Software;1962;2024;17255726.83;3807259.65;Public;5000-10000 employees;Carlos Tanaka;London, China
Company_00022;Brazil;Logistics;1966;2023;54100738.53;7588022.33;Private;200-500 employees;Michael Garcia;New York, Brazil
Company_00023;USA;Energy;1988;2021;23383017.81;2598061.71;Private;50-200 employees;Sofia Brown;Toronto, USA
Company_00024;UK;Energy;1953;2021;16807940.07;2972036.21;Public;5000-10000 employees;John Chen;Beijing, UK
Company_00025;USA;Manufacturing;2019;2023;20486540.27;2274019.52;Public;50-200 employees;Sofia Silva;Berlin, USA
Company_00026;China;Manufacturing;1995;2024;74504949.26;4458364.41;Private;500-1000 employees;Michael Smith;Sydney, China
Company_00027;UK;Healthcare;1988;2022;60332831.89;8158384.5;Private;1000-5000 employees;Michael Chen;Toronto, UK
Company_00028;Australia;Logistics;1972;2022;99937655.81;6107662.59;Public;500-1000 employees;Raj Wang;Beijing, Australia
Company_00029;USA;Logistics;1995;2021;99188981.34;11573115.66;Private;200-500 employees;Sofia Brown;Paris, USA
Company_00030;UK;Retail;1961;2021;83355049.55;17215653.57;Public;5000-10000 employees;John Silva;London, UK
Company_00031;Brazil;Education;1963;2022;58332084.84;13612295.17;Private;5000-10000 employees;Robert Garcia;Sydney, Brazil
Company_00032;UK;Manufacturing;2015;2022;62939678.34;8512458.17;Public;200-500 employees;Robert Kumar;Sydney, UK
Company_00033;India;Healthcare;1961;2023;50593501.93;5195840.8;Public;50-200 employees;John Wang;Beijing, India
Company_00034;Brazil;Manufacturing;2005;2024;44008530.27;8524669.86;Public;500-1000 employees;Yuki Tanaka;Beijing, Brazil
Company_00035;Canada;Retail;2004;2024;34487770.12;4688695.15;Public;5000-10000 employees;Robert Müller;Toronto, Canada
Company_00036;Brazil;Retail;1981;2021;97883728.17;17958561.37;Private;50-200 employees;Jane Brown;Toronto, Brazil
Company_00037;Canada;Logistics;1980;2021;62548570.73;13277988.26;Private;1000-5000 employees;Carlos Smith;Sydney, Canada
Company_00038;Japan;Logistics;1972;2024;6281155.4;1083537.01;Private;1000-5000 employees;Raj Müller;Beijing, Japan
Company_00039;USA;Retail;1954;2021;78691542.19;12689937.02;Public;200-500 employees;Jane Müller;Beijing, USA
Company_00040;Canada;Retail;1981;2023;53883553.96;7263070.78;Public;500-1000 employees;Sofia Wang;Sydney, Canada
Company_00041;Canada;Energy;2016;2024;45742183.01;8917654.16;Public;5000-10000 employees;Michael Smith;Berlin, Canada
Company_00042;USA;Manufacturing;1995;2022;11774975.94;1259636.79;Private;50-200 employees;John Kumar;Mumbai, USA
Company_00043;China;Healthcare;1979;2021;39794511.38;7605974.38;Public;50-200 employees;Michael Smith;New York, China
Company_00044;Brazil;Education;1998;2023;22816519.1;4594320.88;Public;1000-5000 employees;Raj Garcia;Berlin, Brazil
Company_00045;India;Retail;2019;2023;37063053.96;2063577.91;Private;50-200 employees;Anna Kumar;Mumbai, India
Company_00046;Canada;Logistics;2011;2022;71931558.93;4573314.29;Private;1000-5000 employees;Michael Müller;Berlin, Canada
Company_00047;China;Energy;1987;2023;93039743.29;9280148.08;Public;200-500 employees;John Wang;Toronto, China
Company_00048;USA;Healthcare;1998;2023;64491615.82;3421313.23;Private;1000-5000 employees;Sofia Smith;Paris, USA
Company_00049;France;Healthcare;2003;2023;50983762.46;3204557.82;Public;50-200 employees;Robert Tanaka;Paris, France
Company_00050;France;Education;1963;2023;11964468.03;2968260.79;Public;50-200 employees;Robert Chen;New York, France
Company_00051;UK;Logistics;2006;2024;85517972.67;10984787.3;Public;500-1000 employees;Yuki Silva;Berlin, UK
Company_00052;Germany;Logistics;1971;2023;71516423.39;8529411.74;Public;500-1000 employees;Yuki Chen;London, Germany
Company_00053;UK;Retail;2020;2023;69590777.28;14787324.86;Private;50-200 employees;John Garcia;São Paulo, UK
Company_00054;Australia;Logistics;2005;2023;16890230.44;2787440.66;Public;200-500 employees;Sofia Garcia;São Paulo, Australia
Company_00055;UK;Software;2020;2021;9997579.22;907370.02;Private;500-1000 employees;Jane Smith;New York, UK
Company_00056;Brazil;Energy;1970;2024;15511582.64;2128184.22;Public;200-500 employees;Carlos Smith;New York, Brazil
Company_00057;India;Finance;1985;2024;54897215.43;8232654.54;Private;5000-10000 employees;John Silva;Berlin, India
Company_00058;Brazil;Retail;1990;2021;45099187.21;7220700.19;Private;1000-5000 employees;Raj Silva;New York, Brazil
Company_00059;India;Energy;1992;2024;7716813.06;437325.22;Public;5000-10000 employees;Carlos Wang;Mumbai, India
Company_00060;India;Finance;1952;2023;96210662.59;10013817.38;Public;200-500 employees;Raj Tanaka;New York, India
Company_00061;Japan;Manufacturing;1963;2023;84284734.53;15752104.38;Private;5000-10000 employees;Anna Müller;Beijing, Japan
Company_00062;Australia;Education;2022;2022;29585654.82;6871348.78;Private;5000-10000 employees;Michael Silva;Tokyo, Australia
Company_00063;India;Finance;1975;2024;86039812.93;11977365.3;Private;200-500 employees;Raj Garcia;Paris, India
Company_00064;UK;Education;1974;2024;65220021.59;14578096.78;Public;500-1000 employees;Raj Wang;Sydney, UK
Company_00065;Germany;Education;1976;2021;55010153.83;5993146.13;Public;1000-5000 employees;Jane Müller;Tokyo, Germany
Company_00066;China;Software;1977;2023;15465426.25;3826298.52;Private;1000-5000 employees;Robert Kumar;Beijing, China
Company_00067;China;Energy;2020;2024;68701074.29;3503575.94;Private;200-500 employees;Michael Johnson;London, China
Company_00068;USA;Healthcare;1998;2022;79491052.28;6643747.26;Public;50-200 employees;Jane Brown;São Paulo, USA
Company_00069;Germany;Logistics;2011;2021;80468889.95;9471216.66;Public;5000-10000 employees;Sofia Brown;Beijing, Germany
Company_00070;India;Finance;1979;2023;14527982.54;3017959.96;Private;500-1000 employees;John Chen;Paris, India
Company_00071;Australia;Education;1959;2024;88422926.91;17920432.1;Private;200-500 employees;Anna Kumar;São Paulo, Australia
Company_00072;Canada;Software;2002;2023;10227710.26;1193340.39;Private;50-200 employees;Sofia Wang;Berlin, Canada
Company_00073;India;Manufacturing;1976;2024;81064714.45;13835307.17;Private;50-200 employees;Sofia Garcia;Sydney, India
Company_00074;China;Manufacturing;1967;2023;93351938.72;15274739.38;Public;500-1000 employees;Carlos Garcia;Sydney, China
Company_00075;Australia;Education;1979;2022;5470615.11;814213.69;Public;50-200 employees;Robert Chen;Paris, Australia
Company_00076;UK;Manufacturing;1982;2024;16391541.46;2718804.88;Public;1000-5000 employees;Michael Garcia;Sydney, UK
Company_00077;Japan;Manufacturing;1960;2024;89955071.06;22217824.63;Private;200-500 employees;Michael Smith;London, Japan
Company_00078;Brazil;Software;1969;2023;42172928.07;3090636.27;Private;200-500 employees;John Smith;Paris, Brazil
Company_00079;Australia;Software;1950;2023;59834027.29;14565496.33;Private;5000-10000 employees;John Tanaka;Tokyo, Australia
Company_00080;Brazil;Energy;1956;2022;56602568.58;5248020.19;Private;5000-10000 employees;Michael Brown;Tokyo, Brazil
Company_00081;UK;Retail;2006;2023;85077545.22;14587075.42;Private;5000-10000 employees;Michael Garcia;Mumbai, UK
Company_00082;India;Manufacturing;1972;2021;10830755.0;2606245.17;Public;200-500 employees;Robert Wang;Mumbai, India
Company_00083;China;Energy;1971;2022;83481111.31;12439388.11;Private;50-200 employees;Raj Johnson;Paris, China
Company_00084;India;Energy;1981;2022;51688918.71;7761000.28;Public;5000-10000 employees;Yuki Müller;Berlin, India
Company_00085;USA;Healthcare;1961;2023;14798475.12;3680699.05;Public;500-1000 employees;Yuki Johnson;Beijing, USA
Company_00086;Canada;Software;1954;2023;63062920.06;9454011.32;Private;200-500 employees;Anna Garcia;Sydney, Canada
Company_00087;France;Software;1994;2023;77292175.63;17471606.72;Public;1000-5000 employees;Raj Wang;Paris, France
Company_00088;Germany;Software;2017;2022;25405321.94;5588392.82;Public;50-200 employees;Liu Kumar;São Paulo, Germany
Company_00089;Brazil;Logistics;1978;2024;2839861.01;610053.27;Public;500-1000 employees;John Smith;Mumbai, Brazil
Company_00090;Canada;Retail;1981;2021;5064406.54;1100710.8;Private;1000-5000 employees;Robert Wang;Beijing, Canada
Company_00091;France;Manufacturing;2009;2023;22315929.66;3666369.32;Public;1000-5000 employees;Robert Müller;New York, France
Company_00092;India;Finance;1959;2021;91794810.0;15502363.08;Public;5000-10000 employees;Anna Chen;Tokyo, India
Company_00093;Germany;Software;2014;2021;46596640.53;4217354.12;Public;500-1000 employees;Anna Johnson;London, Germany
Company_00094;UK;Energy;1959;2021;69507883.64;9812190.43;Public;50-200 employees;John Brown;Beijing, UK
Company_00095;Brazil;Energy;1999;2024;27281865.1;5990393.15;Public;1000-5000 employees;Jane Chen;Paris, Brazil
Company_00096;Canada;Energy;1995;2022;36327473.07;6517873.08;Private;200-500 employees;Sofia Chen;Paris, Canada
Company_00097;UK;Software;1955;2023;99596966.25;22741790.25;Public;5000-10000 employees;Raj Brown;Berlin, UK
Company_00098;Brazil;Manufacturing;2002;2023;11175283.87;1322150.52;Private;5000-10000 employees;Jane Tanaka;Beijing, Brazil
Company_00099;China;Manufacturing;2011;2021;24850432.96;1853981.38;Public;50-200 employees;Sofia Garcia;Beijing, China
Company_00100;UK;Logistics;1984;2023;3799709.43;819444.61;Public;5000-10000 employees;John Silva;São Paulo, UK
Company_00101;Australia;Logistics;1958;2023;3979902.74;329751.96;Private;200-500 employees;Michael Silva;Tokyo, Australia
Company_00102;Japan;Software;1964;2023;9738473.43;1916856.9;Private;200-500 employees;Liu Chen;Toronto, Japan
Company_00103;Germany;Energy;1961;2023;14239326.08;1854536.62;Public;500-1000 employees;Jane Johnson;Sydney, Germany
Company_00104;Canada;Healthcare;1999;2021;51961861.95;8719618.53;Public;1000-5000 employees;Robert Silva;Sydney, Canada
Company_00105;Japan;Software;2016;2022;19999675.61;2090275.9;Public;5000-10000 employees;Yuki Silva;Tokyo, Japan
Company_00106;Canada;Logistics;1962;2024;46689496.45;8243887.95;Private;500-1000 employees;Robert Chen;Sydney, Canada
Company_00107;France;Energy;1969;2021;29211691.23;4418142.16;Private;1000-5000 employees;Liu Garcia;Paris, France
Company_00108;France;Logistics;2020;2023;32731717.03;6300461.16;Private;200-500 employees;Robert Kumar;Tokyo, France
Company_00109;USA;Software;1975;2024;84851997.24;17542350.34;Public;500-1000 employees;Robert Kumar;São Paulo, USA
Company_00110;China;Logistics;2005;2021;66531942.12;5430418.52;Private;5000-10000 employees;Liu Silva;Toronto, China
Company_00111;China;Software;2002;2022;10745927.34;1581900.32;Public;50-200 employees;John Müller;London, China
Company_00112;UK;Healthcare;1971;2024;26716506.31;3369571.31;Public;1000-5000 employees;Robert Kumar;New York, UK
Company_00113;China;Finance;2010;2021;73822265.67;6323701.74;Private;200-500 employees;Carlos Müller;Paris, China
Company_00114;India;Energy;1965;2024;78914488.68;15252611.99;Private;50-200 employees;Jane Wang;Sydney, India
Company_00115;China;Finance;1974;2023;67616673.36;13829998.9;Public;500-1000 employees;John Brown;Paris, China
Company_00116;USA;Finance;1973;2023;10332861.83;565739.34;Private;500-1000 employees;Sofia Smith;London, USA
Company_00117;UK;Logistics;1973;2024;49245508.68;10786589.37;Public;50-200 employees;Anna Silva;London, UK
Company_00118;USA;Manufacturing;2014;2023;88089785.81;11942840.36;Private;1000-5000 employees;Liu Chen;Beijing, USA
Company_00119;Australia;Logistics;1971;2024;74509324.36;18082195.53;Private;200-500 employees;Yuki Garcia;London, Australia
Company_00120;France;Logistics;1967;2024;42460217.11;2363355.51;Private;50-200 employees;Robert Garcia;Berlin, France
Company_00121;USA;Education;1969;2023;63237146.93;11884723.08;Public;5000-10000 employees;Michael Garcia;São Paulo, USA
Company_00122;Brazil;Manufacturing;1990;2023;15865773.34;3632857.35;Public;1000-5000 employees;Liu Tanaka;Beijing, Brazil
Company_00123;Australia;Software;2016;2023;79246810.01;6367243.57;Public;500-1000 employees;Raj Müller;London, Australia
Company_00124;Brazil;Manufacturing;2005;2023;5118228.51;986991.08;Public;50-200 employees;John Wang;Paris, Brazil
Company_00125;Canada;Software;1951;2021;11075669.66;1267009.24;Private;5000-10000 employees;John Brown;Paris, Canada
Company_00126;Germany;Manufacturing;1976;2024;47490667.08;9126674.74;Private;200-500 employees;Carlos Chen;Beijing, Germany
Company_00127;India;Energy;1999;2023;75613050.44;11686907.41;Private;50-200 employees;John Chen;London, India
Company_00128;Brazil;Healthcare;2005;2024;5236808.55;593425.26;Private;200-500 employees;Carlos Johnson;Paris, Brazil
Company_00129;Canada;Manufacturing;2022;2023;86830483.24;9273786.17;Public;5000-10000 employees;Anna Brown;Toronto, Canada
Company_00130;India;Finance;1964;2021;35734431.59;5460252.28;Public;1000-5000 employees;Raj Johnson;Mumbai, India
Company_00131;Germany;Retail;2021;2024;15185566.93;2731208.44;Public;5000-10000 employees;Raj Wang;Mumbai, Germany
Company_00132;USA;Logistics;2011;2022;60605243.89;7738894.05;Public;5000-10000 employees;Robert Garcia;New York, USA
Company_00133;India;Energy;2016;2021;75732751.2;15621789.7;Private;200-500 employees;Sofia Silva;Paris, India
Company_00134;India;Energy;1996;2024;51590882.43;8804096.77;Private;50-200 employees;John Silva;Toronto, India
Company_00135;UK;Retail;1998;2022;87761716.15;20638087.02;Public;5000-10000 employees;Jane Wang;London, UK
Company_00136;Germany;Manufacturing;1989;2023;11145493.62;1425077.66;Public;1000-5000 employees;John Silva;Tokyo, Germany
Company_00137;France;Education;1975;2022;98940311.81;8572465.0;Private;5000-10000 employees;Yuki Wang;Beijing, France
Company_00138;India;Finance;2018;2023;20716642.74;5166420.32;Public;50-200 employees;Carlos Johnson;Beijing, India
Company_00139;Australia;Energy;1976;2023;46558297.73;5181503.06;Private;50-200 employees;Raj Brown;Toronto, Australia
Company_00140;Canada;Logistics;1974;2023;21632240.73;1666626.96;Public;1000-5000 employees;Jane Brown;Mumbai, Canada
Company_00141;UK;Logistics;1995;2023;36594546.7;7943855.91;Public;5000-10000 employees;Liu Brown;Berlin, UK
Company_00142;Australia;Education;1954;2024;59004369.7;13528637.13;Private;200-500 employees;Robert Silva;Toronto, Australia
Company_00143;Brazil;Healthcare;1975;2022;61084013.12;4140337.7;Private;50-200 employees;Yuki Tanaka;São Paulo, Brazil
Company_00144;UK;Manufacturing;1961;2021;97215867.95;24194162.06;Public;50-200 employees;Anna Tanaka;São Paulo, UK
Company_00145;China;Finance;2020;2022;41011921.09;8083793.71;Public;200-500 employees;Michael Brown;London, China
Company_00146;Australia;Logistics;1997;2024;17490896.52;2617468.76;Public;5000-10000 employees;Jane Smith;Berlin, Australia
Company_00147;Australia;Finance;2000;2022;33385201.76;1709191.67;Public;500-1000 employees;Jane Silva;Tokyo, Australia
Company_00148;USA;Education;1954;2021;69906929.93;12585413.26;Public;50-200 employees;Robert Johnson;Berlin, USA
Company_00149;UK;Energy;2012;2022;47277395.67;3903836.41;Public;200-500 employees;Sofia Garcia;Mumbai, UK
Company_00150;China;Logistics;1961;2023;67514064.15;9279391.28;Private;5000-10000 employees;Liu Smith;Paris, China
Company_00151;UK;Energy;1972;2024;60044571.01;4871492.9;Private;500-1000 employees;Liu Garcia;Sydney, UK
Company_00152;India;Retail;1967;2024;37989731.56;5999280.32;Public;500-1000 employees;Liu Brown;New York, India
Company_00153;Canada;Software;2017;2022;26531610.86;3086927.58;Public;200-500 employees;Robert Tanaka;New York, Canada
Company_00154;UK;Healthcare;2003;2022;84651357.61;9807369.17;Public;50-200 employees;Yuki Tanaka;Toronto, UK
Company_00155;Canada;Software;1959;2021;25408024.2;1652646.3;Private;500-1000 employees;Robert Kumar;Toronto, Canada
Company_00156;Australia;Retail;1998;2023;80924998.73;7328454.51;Private;200-500 employees;John Johnson;Mumbai, Australia
Company_00157;Canada;Logistics;1959;2023;87127374.93;8850636.76;Private;5000-10000 employees;Yuki Tanaka;New York, Canada
Company_00158;Canada;Education;1996;2024;46506292.4;3314993.49;Private;5000-10000 employees;Anna Garcia;Tokyo, Canada
Company_00159;Brazil;Retail;1954;2023;3536813.91;857776.83;Private;5000-10000 employees;Anna Wang;Sydney, Brazil
Company_00160;Japan;Manufacturing;1980;2023;3403467.05;280387.57;Public;500-1000 employees;John Brown;London, Japan
Company_00161;Canada;Energy;1996;2024;39600193.7;8483582.87;Public;50-200 employees;Robert Brown;Mumbai, Canada
Company_00162;Japan;Software;2016;2021;22710110.91;3012852.72;Private;1000-5000 employees;Raj Johnson;Mumbai, Japan
Company_00163;Japan;Manufacturing;1953;2022;36259661.71;5495329.74;Private;200-500 employees;Carlos Wang;London, Japan
Company_00164;Japan;Energy;1971;2024;23471509.92;2957945.89;Public;1000-5000 employees;Liu Müller;Berlin, Japan
Company_00165;India;Finance;1988;2022;93251495.91;10467905.35;Private;1000-5000 employees;Michael Johnson;New York, India
Company_00166;China;Healthcare;2013;2024;74035785.49;12909169.97;Private;5000-10000 employees;Carlos Silva;Beijing, China
Company_00167;Australia;Logistics;1962;2021;10210113.26;1856329.14;Private;500-1000 employees;Sofia Müller;São Paulo, Australia
Company_00168;Canada;Logistics;1998;2021;88444439.39;16223805.43;Private;5000-10000 employees;Anna Wang;New York, Canada
Company_00169;Australia;Retail;1982;2024;39935401.42;8989624.84;Private;500-1000 employees;Anna Tanaka;London, Australia
Company_00170;USA;Energy;1972;2021;2449213.34;410899.48;Private;200-500 employees;Robert Brown;Berlin, USA
Company_00171;USA;Finance;2007;2023;13509977.96;2307550.33;Private;1000-5000 employees;Raj Silva;New York, USA
Company_00172;France;Finance;1982;2021;21492159.37;1186631.51;Private;50-200 employees;Carlos Chen;Tokyo, France
Company_00173;India;Logistics;1952;2024;67149794.77;10907126.71;Public;200-500 employees;Raj Brown;Mumbai, India
Company_00174;Japan;Education;1994;2024;57674221.13;5689962.33;Private;50-200 employees;Yuki Chen;Sydney, Japan
Company_00175;Australia;Finance;1964;2021;76427216.52;16336291.14;Private;1000-5000 employees;Raj Smith;Paris, Australia
Company_00176;India;Education;1978;2022;58367955.69;5033686.66;Public;50-200 employees;Anna Smith;Berlin, India
Company_00177;France;Software;1982;2023;31293095.48;6626788.07;Private;50-200 employees;Anna Garcia;Sydney, France
Company_00178;India;Retail;2009;2024;9418254.78;909782.44;Public;1000-5000 employees;Yuki Brown;Mumbai, India
Company_00179;Canada;Software;2000;2022;65612817.01;4274012.46;Public;50-200 employees;Carlos Wang;New York, Canada
Company_00180;USA;Energy;1985;2022;75133611.03;7244987.6;Public;5000-10000 employees;Anna Chen;Berlin, USA
Company_00181;Brazil;Manufacturing;1983;2024;21280900.76;1621547.9;Public;5000-10000 employees;Michael Smith;New York, Brazil
Company_00182;India;Logistics;1971;2022;50902290.27;3858038.72;Private;200-500 employees;Carlos Tanaka;Tokyo, India
Company_00183;China;Energy;1989;2022;56226672.56;4433641.8;Private;500-1000 employees;Raj Wang;Tokyo, China
Company_00184;China;Healthcare;2010;2023;8683706.67;1517044.61;Public;50-200 employees;Carlos Johnson;Berlin, China
Company_00185;Germany;Healthcare;2010;2022;87421439.29;20651675.16;Public;50-200 employees;Anna Chen;Berlin, Germany
Company_00186;India;Retail;2012;2024;62253395.1;6501899.59;Public;1000-5000 employees;John Müller;Paris, India
Company_00187;Canada;Energy;1976;2022;49607141.45;8922976.37;Public;500-1000 employees;Carlos Müller;Paris, Canada
Company_00188;USA;Logistics;1967;2023;76362748.25;8853940.97;Public;500-1000 employees;Michael Kumar;Paris, USA
Company_00189;USA;Software;1987;2022;55728433.12;12541017.54;Public;50-200 employees;Sofia Müller;Paris, USA
Company_00190;China;Finance;1953;2023;77225352.01;8433203.27;Public;50-200 employees;Carlos Kumar;New York, China
Company_00191;UK;Manufacturing;2000;2022;59581651.69;11703685.07;Public;1000-5000 employees;Anna Brown;Beijing, UK
Company_00192;Brazil;Finance;1985;2021;34950824.49;2897489.12;Public;50-200 employees;Carlos Smith;New York, Brazil
Company_00193;China;Manufacturing;1964;2022;96250821.87;22001224.7;Private;500-1000 employees;Sofia Müller;Berlin, China
Company_00194;Canada;Logistics;2018;2021;41407122.25;2434721.05;Private;500-1000 employees;Michael Wang;Beijing, Canada
Company_00195;Brazil;Logistics;1991;2021;74184486.29;8912706.7;Public;5000-10000 employees;Yuki Wang;São Paulo, Brazil
Company_00196;USA;Manufacturing;2014;2024;31559754.59;3127335.47;Private;500-1000 employees;Yuki Brown;London, USA
Company_00197;Canada;Finance;2016;2024;55684543.13;8706505.59;Public;50-200 employees;Jane Chen;Paris, Canada
Company_00198;France;Logistics;1971;2021;98481762.65;23497807.99;Public;500-1000 employees;Michael Silva;Paris, France
Company_00199;Japan;Logistics;1993;2021;15564640.71;1596217.68;Private;5000-10000 employees;Yuki Chen;Sydney, Japan
Company_00200;Australia;Manufacturing;1950;2024;5185827.54;1188206.38;Public;200-500 employees;Raj Müller;São Paulo, Australia
Company_00201;Japan;Finance;2004;2023;17449909.02;2969328.35;Private;1000-5000 employees;Anna Müller;Mumbai, Japan
Company_00202;France;Energy;2006;2024;79864501.38;13365003.71;Public;500-1000 employees;Yuki Müller;Berlin, France
Company_00203;UK;Logistics;1989;2021;91560251.32;19032824.22;Public;500-1000 employees;Carlos Chen;London, UK
Company_00204;China;Retail;1984;2023;61580737.65;8837009.31;Public;1000-5000 employees;Michael Garcia;Sydney, China
Company_00205;India;Finance;1996;2021;17090760.42;3801372.37;Private;50-200 employees;Anna Smith;Berlin, India
Company_00206;Canada;Energy;1990;2021;21471437.29;2608761.4;Public;1000-5000 employees;John Tanaka;London, Canada
Company_00207;USA;Manufacturing;1960;2024;72231140.18;11213346.9;Private;5000-10000 employees;Liu Wang;Sydney, USA
Company_00208;Canada;Logistics;1974;2023;91292778.5;6058242.22;Private;200-500 employees;Jane Silva;Toronto, Canada
Company_00209;USA;Software;1993;2021;87692859.34;21009270.09;Private;500-1000 employees;Robert Chen;Toronto, USA
Company_00210;Germany;Energy;2014;2024;3169551.09;215041.56;Private;200-500 employees;Michael Wang;Tokyo, Germany
Company_00211;Brazil;Finance;2018;2023;39149876.68;8520355.85;Public;200-500 employees;Michael Kumar;Mumbai, Brazil
Company_00212;China;Software;1963;2024;4131963.54;381401.49;Public;500-1000 employees;Liu Silva;Paris, China
Company_00213;Germany;Manufacturing;1996;2021;29154679.57;1715675.49;Private;200-500 employees;Anna Silva;London, Germany
Company_00214;France;Logistics;1976;2021;14307810.21;2630783.1;Public;5000-10000 employees;Sofia Johnson;Mumbai, France
Company_00215;Australia;Healthcare;2013;2023;75164890.14;18271282.39;Private;50-200 employees;Yuki Müller;Sydney, Australia
Company_00216;India;Education;1977;2023;9516646.02;714521.16;Private;5000-10000 employees;Robert Brown;Sydney, India
Company_00217;Brazil;Education;2019;2024;55338962.48;7962287.81;Private;50-200 employees;Jane Smith;New York, Brazil
Company_00218;Australia;Healthcare;2008;2023;17543157.02;3517961.38;Private;500-1000 employees;John Müller;London, Australia
Company_00219;Brazil;Energy;2009;2022;68004153.69;14994583.73;Public;500-1000 employees;Michael Garcia;Sydney, Brazil
Company_00220;India;Healthcare;1955;2023;33127866.05;2872287.3;Private;50-200 employees;Jane Johnson;São Paulo, India
Company_00221;Japan;Healthcare;1956;2021;62094351.96;4984570.79;Private;1000-5000 employees;Yuki Silva;Mumbai, Japan
Company_00222;USA;Finance;1986;2022;53840870.28;5399813.79;Private;200-500 employees;Yuki Kumar;Tokyo, USA
Company_00223;India;Education;1955;2023;83800810.22;16685044.36;Public;1000-5000 employees;Carlos Tanaka;São Paulo, India
Company_00224;Canada;Finance;1958;2023;49037251.11;7940533.13;Public;200-500 employees;Carlos Kumar;São Paulo, Canada
Company_00225;Australia;Energy;2019;2022;73281138.1;6002563.74;Private;1000-5000 employees;Anna Garcia;Toronto, Australia
Company_00226;India;Manufacturing;1961;2021;89101323.44;7229204.08;Private;50-200 employees;Jane Brown;Mumbai, India
Company_00227;Japan;Energy;1976;2021;14917421.86;3540647.94;Private;500-1000 employees;Sofia Johnson;Paris, Japan
Company_00228;Brazil;Education;1976;2023;80095295.25;14699425.69;Private;1000-5000 employees;Anna Tanaka;Beijing, Brazil
Company_00229;USA;Manufacturing;2022;2022;5940601.0;960135.65;Private;200-500 employees;Raj Müller;Toronto, USA
Company_00230;Canada;Energy;1961;2021;68890201.46;8620652.31;Private;200-500 employees;Michael Johnson;London, Canada
Company_00231;Canada;Education;1987;2023;30723256.61;2859305.38;Public;1000-5000 employees;Michael Smith;Tokyo, Canada
Company_00232;China;Retail;1994;2022;47138013.04;6977986.27;Public;500-1000 employees;Sofia Johnson;London, China
Company_00233;Brazil;Software;1958;2024;51770259.99;3210938.85;Public;50-200 employees;Anna Johnson;New York, Brazil
Company_00234;France;Finance;1951;2021;95500345.71;6291648.53;Public;500-1000 employees;Yuki Smith;Beijing, France
Company_00235;India;Finance;1982;2022;97715190.66;7089106.82;Public;500-1000 employees;John Müller;Toronto, India
